Sector,SubIndustry1,SubIndustry2,SubIndustry3,SubIndustry4,SubIndustry5,SubIndustry6,SubIndustry7,SubIndustry8,SubIndustry9,Metric,Segment1,Segment2,Segment3,Segment4,Report Name,Time Unit,From,To,Data Unit,Unit Description,Written Explanation,Region,Report Description,Report Link,Report Last Published,Price,Report Update Frequency,Publisher,Publisher Description,Report Quality,Completeness,Cataloger Notes,Catalog Group Source,Page
Technology,Cybersecurity,,,,,,,,,# of Businesses,Region,,,,"Department for Digital, Culture, Media and Sport UK Cyber Security Sectoral Analysis and Deep-Dive Review",year,1/1/08,12/31/18,# of Businesses,UK Only # of Businesses,2018. Report contains the number of cybersecurity businesses in the UK segmented by UK region on page 12,UK,"Report contains a comprehensive analysis on UK cybersecurity companies, 2018",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/751406/UK_Cyber_Sector_Report_-__June_2018.pdf,6/30/18,0,irregular,RSM International,"RSM is a global network of audit, tax and consulting experts with offices all over the world",2,2,,,12
Technology,Cybersecurity,,,,,,,,,# of Businesses,Region,,,,TAKING CYBERSPHERE TO THE NEXT LEVEL,year,1/2/11,12/31/18,# of Businesses,Companies Israel Only,2011-2018. Dataset contains Cybersecurity companies Israel Only.,Israel,Report contains cybersecurity company statistics related to firm concentration and investment data 2019,http://www.hazliseconomist.com/uploads/speeches/2019/Cyber/15%20Itai%20Green_TheEconomist_Presentation_Athens%2018032019%20-%20CYBER.pdf#page=3,3/1/19,0,irregular,Innovate Israel,"Innovation Israel is a community for Israeli startups, entrepreneurs, investors, venture capitalists, angels, developers, researchers and recruiters.",1,1,,,3
Technology,Cybersecurity,,,,,,,,,# of Businesses,Region,Subcategory,,,TAKING CYBERSPHERE TO THE NEXT LEVEL,year,1/2/18,12/31/18,# of Businesses,Companies (%) Israel Only,2018. Dataset contains Cybersecurity companies (%) Israel Only by industry.,Israel,Report contains cybersecurity company statistics related to firm concentration and investment data 2019,http://www.hazliseconomist.com/uploads/speeches/2019/Cyber/15%20Itai%20Green_TheEconomist_Presentation_Athens%2018032019%20-%20CYBER.pdf#page=3,3/1/19,0,irregular,Innovate Israel,"Innovation Israel is a community for Israeli startups, entrepreneurs, investors, venture capitalists, angels, developers, researchers and recruiters.",1,1,,,4
Technology,Cybersecurity,,,,,,,,,# of Businesses,Subcategory,Region,,,TAKING CYBERSPHERE TO THE NEXT LEVEL,year,1/2/18,12/31/18,# of Businesses,Companies (%) Israel Only,2018. Dataset contains Cybersecurity companies (%) Israel Only by industry.,Israel,Report contains cybersecurity company statistics related to firm concentration and investment data 2019,http://www.hazliseconomist.com/uploads/speeches/2019/Cyber/15%20Itai%20Green_TheEconomist_Presentation_Athens%2018032019%20-%20CYBER.pdf#page=3,3/1/19,0,irregular,Innovate Israel,"Innovation Israel is a community for Israeli startups, entrepreneurs, investors, venture capitalists, angels, developers, researchers and recruiters.",1,1,,,4
Technology,Cybersecurity,,,,,,,,,Benchmark # FTEs,,,,,IT Key Metrics Data 2019: Key IT Security Measures: Current Year,year,1/1/19,12/31/19,# of Employees,Benchmark # FTEs,2019. Dataset likely contains (IT) information technology security FTEs as a total of IT FTEs,Global,"Report contains current year Information Technology (IT) security metrics and spending, 2019",https://www.gartner.com/doc/3893592?ref=SiteSearch&sthkw=&fnl=search&srcId=1-3478922254,12/17/18,-1,annual,Gartner,"Gartner is a global research and advisory firm that provides insights, advice, and tools",3,3,,,
Technology,Cybersecurity,,,,,,,,,Benchmark Spend,,,,,Credit Suisse Equity Research - Sophos Group PLC,year,1/1/15,12/31/20,Dollars ($),Cloud Security as % of Security Budget,2015-2020. Dataset contains benchmark spend of cloud security as % of security budget on page 41,Global,Report is an extensive equity research report on Sophos and the cybersecurity market,https://research-doc.credit-suisse.com/docView?language=ENG&format=PDF&sourceid=csplusresearchcp&document_id=1080102601&serialid=j98Qtb%2BqG175C84a%2B3bU8FpvGyBfqcHVPO55Ytk4%2B2I%3D,1/9/18,0,irregular,Credit Suisse,Credit Suisse Group AG is a Swiss multinational investment bank and financial services company,3,3,,,41
Technology,Cybersecurity,,,,,,,,,Benchmark Spend,,,,,Cyber security budget as percentage of annual IT budget of consumer businesses in the United States as of February 2017,month,1/1/17,2/28/17,Dollars ($),Consumer Business Only Cybersecurity Budget,2017. Dataset contains benchmark data as % of IT budget for consumer businesses only,United States,Single chart of cyber security budget as percentage of annual IT budget of consumer businesses in the United States,https://www.statista.com/statistics/811116/us-consumer-business-cyber-security-budget-percentage/,6/30/17,0,irregular,Statista,Statista is an online statistics portal that aggregates and repackages market research data,2,2,,,
Technology,Cybersecurity,,,,,,,,,Benchmark Spend,,,,,IT Key Metrics Data 2019: Key IT Security Measures: Current Year,year,1/1/19,12/31/19,Dollars ($),Security as % of IT Spend,2019. Dataset likely contains (IT) information technology security spending as a percentage of total IT spend,Global,"Report contains current year Information Technology (IT) security metrics and spending, 2019",https://www.gartner.com/doc/3893592?ref=SiteSearch&sthkw=&fnl=search&srcId=1-3478922254,12/17/18,-1,annual,Gartner,"Gartner is a global research and advisory firm that provides insights, advice, and tools",3,3,,,
Technology,Cybersecurity,,,,,,,,,Benchmark Spend,,,,,IT Security Dossier,year,1/1/05,1/31/18,Dollars ($),Benchmark Spend,2005-2018. Dataset has percentage of IT budget spent on IT security,Global,"This dossier contains a range of selected facts and statistics about IT security worldwide and features chapters with a specific focus on cybersecurity and IT security appliances, 2018",https://www.statista.com/study/15503/information-security-statista-dossier/,10/31/18,365,irregular,Statista,Statista is an online statistics portal that aggregates and repackages market research data,2,3,,,
Technology,Cybersecurity,,,,,,,,,Benchmark Spend,,,,,Security Budgets 2019: The Year Of Services Arrives,year,1/1/18,11/30/18,Dollars ($),Benchmark Spend,2018. Report contains a global benchmark study of security budgets of security decision makers,Global,"Report contains a global benchmark study of security decision makers at firms spending from 10% to 30% of their (IT) information technology budget on information security, 2018",https://www.forrester.com/report/Security+Budgets+2019+The+Year+Of+Services+Arrives/-/E-RES141372,12/17/18,499,annual,Forrester,Forrester is a leading technology and IT market research and advisory firm,3,3,,,
Technology,Cybersecurity,,,,,,,,,Benchmark Spend,Industry,,,,Cyber Security Skills Report,year,1/1/15,12/31/15,Dollars ($),Gov Only % of GDP,2015. Dataset contains cybersecurity government spend as a percentage of GDP on page 13,"United States, UK, Canada, Australia, New Zealand","Report contains a review and identification of the issues in the development of a cyber security workforce that is able to meet the demand of the future and enable growth across the region, 2016",http://www.gw.govt.nz/assets/WRS-files/Cyber-security-skills-report-final.pdf,9/30/16,0,irregular,Greater Wellington Regional Council,The Greater Wellington Regional Council is an organization that promotes sustainable economic growth within New Zealand,2,2,,,13
